游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,数据
25,古今江湖,厂商: 3K独游屋,8.3,卡牌,"武侠,策略,卡牌",2140736 人安装 1349817 人关注
26,小小法师（测试版）,厂商: Never Late Studio,8.6,休闲,"Roguelike,单机,竖屏",140986 人关注
27,策魂三国,厂商: 冰锥工作室,5,策略,"三国,战棋,策略",44676 人安装 156432 人关注
28,仙境传说RO：守护永恒的爱,厂商: 心动网络,7.1,角色扮演,"MMORPG,二次元,联机",5512349 人安装 1001163 人关注
29,失落的真理魔典,厂商: 杭州浩游科技有限公司,8.1,卡牌,"战棋,策略,卡牌",62383 人安装 64071 人关注
30,古代人生,厂商: 万匠游戏,8.1,文字,"养成,单机,模拟",719644 人关注
31,像素时代,厂商: 纵艺科技,9.7,模拟,"社交,像素,沙盒",14094 人预约 14783 人关注
32,天地劫：幽城再临,厂商: 紫龙游戏,9.1,角色扮演,"武侠,战棋,角色扮演",414772 人预约 415671 人关注
33,密室逃脱绝境系列9无人医院,厂商: 深圳市火星人互动娱乐有限公司,8.8,益智,"儿童保护,恐怖,TapTap独家",89858 人安装 159658 人关注
34,一念逍遥,厂商: 雷霆游戏,6.8,角色扮演,"修仙,放置,挂机",216926 人预约 220174 人关注
35,摩尔庄园,厂商: 雷霆游戏,9.6,休闲,"童年,休闲,联机",1123318 人预约 1165193 人关注
36,妙奇星球,厂商: 套鹿工作室,9.7,休闲,"收集,放置,休闲",138361 人预约 150795 人关注
37,月圆之夜,厂商: 滴答工作室,9.3,冒险,"卡牌,单机,Roguelike",7697490 人安装 3620315 人关注
38,逐光：启航（测试版）,厂商: Ohayoo,9.5,冒险,"文字,剧情,挂机",481622 人关注
39,妄想山海,厂商: 腾讯,8.5,角色扮演,"开放世界,高自由度,山海经",593837 人预约 618642 人关注
40,魔灵时代,厂商: 蜜蜂工作室,7.3,卡牌,"冒险,卡牌,放置",12769 人安装 12726 人关注
41,天谕,厂商: 网易游戏,8.9,角色扮演,"幻想,3D,MMORPG",1348949 人预约 1447391 人关注
42,比特小队,厂商: Kunpo,9.3,冒险,"地牢,Roguelike,联网",3897144 人安装 1920098 人关注
43,另一个伊甸 : 超越时空的猫,厂商: 心动网络,9.1,角色扮演,"单机,回合制,RPG",806237 人安装 1172214 人关注
44,提灯与地下城,厂商: 青瓷,7.2,角色扮演,"Roguelike,角色扮演,宠物",207019 人预约 211317 人关注
45,影之刃3,厂商: 灵游坊,8.8,角色扮演,"动作,角色扮演,武侠",956931 人预约 953280 人关注
46,赛博牛仔（测试版）,厂商: 嘟嘟游戏,7.4,角色扮演,"竖屏,赛博朋克,像素",30413 人关注
47,像素危城,厂商: 雷霆游戏,8.8,冒险,"像素,生存,经营",397019 人预约 394098 人关注
48,负之遗产（测试版）,厂商: 扑家工作室,7.3,角色扮演,"挂机,单机,像素",103245 人关注
49,使命召唤手游,厂商: 腾讯,8.1,动作,"第一人称射击,高画质,多人对战",1377209 人安装 5635342 人关注
50,无极仙途,厂商: 风之力游戏,8.7,角色扮演,"修仙,挂机,放置",481800 人安装 334402 人关注
51,开局一把剑（测试版）,厂商: 做个好游戏工作室,8.9,策略,"地牢,卡牌,单机",219965 人关注
52,某某宗女修修炼手札,厂商: HydrozoaWorks,9.7,休闲,"休闲,女性向,放置",31720 人预约 56473 人关注
53,地心纪元（测试版）,厂商: JoyDo Entertainment,7.4,角色扮演,"竖屏,射击,独立游戏",28375 人关注
54,Muse Dash 喵斯快跑,厂商: 心动网络,9.5,音乐,"付费,音游,二次元",1375600 人购买 1881312 人关注
55,古今江湖,厂商: 3K独游屋,8.3,卡牌,"武侠,策略,卡牌",2140736 人安装 1349817 人关注
