游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
146,奇迹暖暖,厂商: 腾讯,7.0,休闲,"换装,女性向,养成",21462193 人安装 35472465 人关注
147,剑网3：指尖江湖,厂商: 腾讯,4.1,角色扮演,"武侠,横版,MMORPG",142340 人安装 723872 人关注
148,创造与魔法 CN,厂商: 英雄互娱,5.8,冒险,"开放世界,多人,沙盒",10485701 人安装 4804461 人关注
149,重建家园,厂商: 幸存者小分队,6.4,文字,"生存,文字,竖屏",1412143 人安装 5720416 人关注
150,弹力果冻,厂商: 养不大,6.7,角色扮演,"养成,可爱,收集",7743387 人安装 7426342 人关注
151,贪婪洞窟 CN,厂商: 雷霆游戏,7.6,冒险,"单机,地牢,探险",290432 人安装 204379 人关注
152,百变大侦探,厂商: 北京久幺幺科技有限公司,9.3,角色扮演,"社交,解谜,推理",606910 人安装 445529 人关注
153,英雄棋士团,厂商: 灵光游戏,7.7,策略,"策略,卡牌,放置",87648 人安装 88047 人关注
154,部落冲突：皇室战争 CN,厂商: Supercell,6.5,策略,"卡牌,策略,对战",1048947 人安装 576112 人关注
155,猫和老鼠：欢乐互动 CN,厂商: 网易游戏,8.0,动作,"多人,休闲,联机",1566159 人安装 768758 人关注
156,大明侠客令,厂商: 小黑龙网络,8.1,文字,"武侠,冒险,养成",1262025 人安装 749103 人关注
157,奶牛镇的小时光 CN,厂商: 第一波游戏,5.8,休闲,"经营,农场,休闲",20742 人购买 22768 人关注
158,钢铁命令：将军的荣耀3,厂商: 苏州乐志软件,8.2,策略,"战棋,回合制,二战",112510 人安装 163114 人关注
159,五行师,厂商: 雷霆游戏,8.5,卡牌,"卡牌对战,卡牌,TCG",53094 人安装 148725 人关注
160,超进化物语,厂商: 深圳市探娱互动科学文化有限公司,7.0,角色扮演,"养成,进化,放置",210642 人安装 58144 人关注
161,爆炒江湖,厂商: 套鹿工作室,8.5,模拟,"经营,美食,放置",272821 人购买 627172 人关注
162,远方（付费下载版）,厂商: Kunpo,9.2,休闲,"单机,治愈,付费",61423 人安装 61482 人关注
163,神武4,厂商: 广州多益网络股份有限公司,4.9,角色扮演,"MMORPG,回合制,角色扮演",113592 人安装 309946 人关注
164,魔法纪录：魔法少女小圆外传,厂商: 哔哩哔哩游戏,7.2,角色扮演,"二次元,卡牌,魔法少女",3969406 人安装 3954229 人关注
165,封仙之怒,厂商: 小浣熊游戏工作室,6.5,角色扮演,"竖屏,放置,修仙",267758 人安装 353173 人关注
166,Juicy Realm 恶果之地,厂商: 心动网络,8.8,动作,"Roguelike,射击,冒险",1028079 人关注
167,群雄时代 CN,厂商: Yan Yue Games,7.4,策略,"策略,三国,TapTap独家",2127013 人安装 1261082 人关注
168,街霸：对决,厂商: 腾讯,4.7,角色扮演,"街机,回合制,ACG",433383 人安装 1048029 人关注
169,王牌战士,厂商: 腾讯,6.9,动作,"FPS,MOBA+FPS,射击",3426584 人安装 1176403 人关注
170,全球行动 CN,厂商: 极光计划,7.6,策略,"战争,RTS,多人",126987 人安装 218154 人关注
171,抽卡人生（测试版）,厂商: CannedFish Game,8.3,策略,"单机,有毒,生存",1255175 人安装 632636 人关注
172,长生劫 CN,厂商: 雷霆游戏,9.4,冒险,"单机,盗墓,文字",2214227 人安装 1445242 人关注
173,天天象棋,厂商: 腾讯,8.0,策略,"桌面和棋类,益智,象棋",90406 人安装 224915 人关注
174,野蛮时代,厂商: tap4fun,7.2,策略,"建造,多人,策略",38165 人关注
175,巨像骑士团,厂商: 雷霆游戏,5.9,卡牌,"冒险,养成,放置",32128 人预约 57151 人关注
176,少年侠客,厂商: 虫咖游戏,8.4,角色扮演,"武侠,单机,放置",861608 人安装 844840 人关注
177,狂野飙车9：竞速传奇 CN,厂商: 广州灵犀互动娱乐有限公司,5.3,竞速,"高画质,漂移,联机",233821 人关注
178,少年三国志：零,厂商: 游族网络,5.6,卡牌,"三国,策略,卡牌",452406 人安装 264568 人关注
179,我要上厕所（测试版）,厂商: 深圳市必凡娱乐科技有限公司,6.2,模拟,"经营,挂机,模拟",1343703 人安装 773222 人关注
180,某某宗女修修炼手札,厂商: HydrozoaWorks,9.7,休闲,"休闲,女性向,放置",542784 人安装 312165 人关注
181,山海镜花,厂商: 游族网络,6.4,角色扮演,"二次元,卡牌,养成",478298 人安装 573280 人关注
182,楼下的早餐店（测试版）,厂商: YiYo Studios,8.9,模拟,"美食,经营,剧情",302279 人安装 880266 人关注
183,血族,厂商: 盛趣游戏,8.6,角色扮演,"卡牌,二次元,回合制",719949 人关注
184,小小航海士外传 CN,厂商: LinkJoy,8.9,冒险,"模拟经营,独立游戏,探险",235890 人安装 203939 人关注
185,刀剑乱舞-ONLINE- CN,厂商: 游族网络,9.7,角色扮演,"女性向,二次元,卡牌",13536 人安装 13242 人关注
186,重装战姬 CN,厂商: 哔哩哔哩游戏,5.4,动作,"二次元,动作,机甲",28904 人关注
187,深渊地平线 CN,厂商: 心动网络,6.8,角色扮演,"二次元,3D,美少女",1720031 人安装 578947 人关注
188,古代人生,厂商: 万匠游戏,8.1,文字,"养成,单机,模拟",4410494 人安装 1993119 人关注
189,灌篮高手 CN,厂商: 上海蛙扑网络技术有限公司,5.0,体育,"ACG,日漫,漫改",21727 人安装 302912 人关注
190,魔灵时代,厂商: 蜜蜂工作室,7.0,卡牌,"冒险,卡牌,放置",3271 人关注
191,地心纪元（测试版）,厂商: JoyDo Entertainment,7.4,角色扮演,"竖屏,射击,独立游戏",10162 人安装 36492 人关注
192,逃跑吧！少年,厂商: 深圳市抱一网络科技有限公司,6.4,休闲,"竞技,欢乐,联机",2675983 人安装 1690653 人关注
193,还有这种操作,厂商: 青豆工作室,8.8,知识问答,"烧脑,有毒,单机",1039653 人安装 596837 人关注
194,通感纪元（预下载） CN,厂商: 60制作组,8.8,策略,"二次元,日系,赛博朋克",1738464 人安装 1170492 人关注
195,我选技闯关（测试版）,厂商: 一起玩工作室,8.0,策略,休闲,126146 人安装 327846 人关注
196,家园卫士,厂商: 深圳市天蝎座互娱科技有限公司,3.0,冒险,"策略,单机,塔防",1709846 人安装 868255 人关注
197,重装上阵 CN,厂商: 网易游戏,7.8,策略,"机甲,组装,多人",219504 人安装 218570 人关注
198,姬魔恋战纪,厂商: 上海义乐信息科技有限公司,8.6,角色扮演,"二次元,美少女,恋爱",840370 人安装 1343390 人关注
199,约战：精灵再临,厂商: 大凉山制作组,7.2,动作,"二次元,恋爱,美少女",276698 人安装 938719 人关注
200,万灵启源,厂商: 哔哩哔哩游戏,5.2,角色扮演,"美少女,二次元,角色扮演",13879 人关注
201,模拟城市：我是市长 CN,厂商: 北京北纬通信科技股份有限公司,5.9,休闲,"经营,模拟,城市建造",438473 人安装 334648 人关注
202,悠长假期 CN,厂商: 锐战科技（上海）有限公司,6.1,休闲,"模拟,休闲,剧情",152259 人安装 238655 人关注
203,天天酷跑,厂商: 腾讯,5.0,冒险,"跑酷,道具付费,动作",306934 人关注
204,QQ炫舞手游,厂商: 腾讯,6.2,音乐,"音乐,换装,舞蹈",531202 人安装 255378 人关注
205,迷你喜日式拼图（测试版）,厂商: 迷你喜,6.4,益智,"单机,休闲,益智",849518 人安装 680356 人关注
206,月兔历险记 CN,厂商: 深圳市火星人互动娱乐有限公司,8.6,休闲,"休闲,放置,TapTap独家",378205 人安装 245639 人关注
207,曙光英雄,厂商: 竞技世界(北京)网络技术有限公司,5.3,动作,"MOBA,PVP,5v5",2393997 人安装 1665616 人关注
208,Cytoid（测试版） CN,厂商: Tiger Tang,8.8,音乐,"DIY,音游,音乐",914974 人安装 751078 人关注
209,海岛奇兵（Boom Beach） CN,厂商: Supercell,7.2,策略,"策略,即时战略,COC",587928 人安装 404318 人关注
210,神都夜行录 CN,厂商: 网易游戏,5.2,角色扮演,"国风,妖怪,MMO",1044639 人安装 610548 人关注
211,武林英雄传 CN,厂商: 弘程游戏,7.7,角色扮演,"武侠,策略,放置",142406 人购买 190057 人关注
212,纪念碑谷,厂商: 深圳市创梦天地科技有限公司,9.9,益智,"益智,几何,唯美",2015201 人安装 1125431 人关注
213,异化之地,厂商: 雷霆游戏,6.8,动作,"Roguelike,动作,克苏鲁",68602 人安装 115408 人关注
214,密室逃脱绝境系列11游乐园,厂商: 深圳市火星人互动娱乐有限公司,8.7,益智,"密室逃脱,解谜,悬疑",463688 人安装 642491 人关注
215,天天打波利,厂商: 心动网络,8.3,休闲,"放置,挂机,竖版",999245 人安装 549101 人关注
216,轩辕剑叁外传天之痕 CN,厂商: SOFTSTAR ENTERTAINMENT,8.7,角色扮演,"仙侠,单机,回合制",260028 人安装 549943 人关注
217,边境之旅 CN,厂商: 网易游戏,6.8,角色扮演,"生存,经营模拟,冒险",376007 人安装 502251 人关注
218,剑网3指尖对弈,厂商: 西山居游戏,6.4,休闲,"自走棋,休闲,策略",493706 人安装 714738 人关注
219,元素地牢 CN,厂商: 极光计划,5.2,休闲,"联机,像素,Roguelike",1051897 人安装 760934 人关注
220,食之契约,厂商: 食之契约制作委员会,7.6,卡牌,"二次元,养成,收集",424440 人安装 517209 人关注
221,最终幻想：勇气启示录 CN,厂商: 西山居世游,5.9,角色扮演,"像素,回合制,角色扮演",1474855 人安装 955718 人关注
222,新笑傲江湖 CN,厂商: 完美世界,4.5,角色扮演,"武侠,角色扮演,MMO",1620104 人关注
223,先锋英雄：造物法则2 CN,厂商: 广州天梯网络科技有限公司,6.4,角色扮演,"RPG,收集,二次元",27584 人购买 110183 人关注
224,旅行串串,厂商: Kunpo,9.5,休闲,"放置,经营,美食",210690 人关注
